Latitude,Longitude,DoseRate_R_hr
36.21721003,-86.64001467,6.00E-06
36.21721003,-86.63983501,6.98E-06
36.21721003,-86.63965535,5.88E-06
36.21721003,-86.63947569,6.69E-06
36.21721003,-86.63929602,5.85E-06
36.21721003,-86.63911636,7.12E-06
36.21721003,-86.6389367,6.47E-06
36.21721003,-86.63875703,6.04E-06
36.21721003,-86.63857737,5.72E-06
36.21721003,-86.63839771,6.49E-06
36.21721003,-86.63821804,6.00E-06
36.21721003,-86.63803838,6.22E-06
36.21721003,-86.63785872,7.06E-06
36.21721003,-86.63767905,6.21E-06
36.21721003,-86.63749939,5.74E-06
36.21721003,-86.63731973,5.95E-06
36.21721003,-86.63714007,6.46E-06
36.21721003,-86.6369604,6.40E-06
36.21721003,-86.63678074,7.17E-06
36.21721003,-86.63660108,6.10E-06
36.21721003,-86.63642141,6.98E-06
36.21721003,-86.63624175,5.98E-06
36.21721003,-86.63606209,6.73E-06
36.21721003,-86.63588242,6.69E-06
36.21721003,-86.63570276,6.53E-06
36.21721003,-86.6355231,7.12E-06
36.21721003,-86.63534344,5.65E-06
36.21721003,-86.63516377,5.71E-06
36.21721003,-86.63498411,6.05E-06
36.21721003,-86.63480445,5.65E-06
36.21721003,-86.63462478,5.46E-06
36.21721003,-86.63444512,6.24E-06
36.21721003,-86.63426546,6.78E-06
36.21721003,-86.63408579,5.25E-06
36.21721003,-86.63390613,6.40E-06
36.21721003,-86.63372647,5.46E-06
36.21721003,-86.6335468,6.51E-06
36.21721003,-86.63336714,6.10E-06
36.21721003,-86.63318748,6.42E-06
36.21721003,-86.63300782,6.39E-06
36.21721003,-86.63282815,5.70E-06
36.21721003,-86.63264849,6.24E-06
36.21721003,-86.63246883,6.04E-06
36.21721003,-86.63228916,6.43E-06
36.21721003,-86.6321095,5.30E-06
36.21721003,-86.63192984,5.61E-06
36.21721003,-86.63175017,6.10E-06
36.21721003,-86.63157051,6.34E-06
36.21721003,-86.63139085,6.91E-06
36.21721003,-86.63121118,6.39E-06
36.21721003,-86.63103152,6.01E-06
36.21721003,-86.63085186,6.91E-06
36.21721003,-86.6306722,5.43E-06
36.21721003,-86.63049253,6.28E-06
36.21721003,-86.63031287,5.61E-06
36.21721003,-86.63013321,6.66E-06
36.21721003,-86.62995354,6.69E-06
36.21721003,-86.62977388,6.07E-06
36.21721003,-86.62959422,6.98E-06
36.21721003,-86.62941455,6.15E-06
36.21721003,-86.62923489,5.85E-06
36.21721003,-86.62905523,5.65E-06
36.21721003,-86.62887557,6.49E-06
36.21721003,-86.6286959,6.34E-06
36.21721003,-86.62851624,6.51E-06
36.21721003,-86.62833658,5.93E-06
36.21721003,-86.62815691,5.48E-06
36.21721003,-86.62797725,5.85E-06
36.21721003,-86.62779759,5.96E-06
36.21721003,-86.62761792,6.40E-06
36.21721003,-86.62743826,5.83E-06
36.21721003,-86.6272586,6.00E-06
36.21721003,-86.62707893,5.51E-06
36.21721003,-86.62689927,5.87E-06
36.21721003,-86.62671961,5.94E-06
36.21721003,-86.62653995,6.39E-06
36.21721003,-86.62636028,5.94E-06
36.21721003,-86.62618062,6.73E-06
36.21721003,-86.62600096,6.46E-06
36.21721003,-86.62582129,6.38E-06
36.21721003,-86.62564163,5.76E-06
36.21721003,-86.62546197,5.51E-06
36.21721003,-86.6252823,5.24E-06
36.21721003,-86.62510264,5.81E-06
36.21721003,-86.62492298,6.37E-06
36.21721003,-86.62474331,6.33E-06
36.21721003,-86.62456365,6.02E-06
36.21721003,-86.62438399,5.20E-06
36.21721003,-86.62420433,5.17E-06
36.21721003,-86.62402466,5.75E-06
36.21721003,-86.623845,5.73E-06
36.21721003,-86.62366534,6.18E-06
36.21721003,-86.62348567,6.17E-06
36.21721003,-86.62330601,6.21E-06
36.21721003,-86.62312635,6.58E-06
36.21721003,-86.62294668,6.05E-06
36.21721003,-86.62276702,5.42E-06
36.21721003,-86.62258736,6.33E-06
36.21721003,-86.6224077,6.25E-06
36.21721003,-86.62222803,5.31E-06
36.21721003,-86.62204837,5.79E-06
36.21721003,-86.62186871,6.03E-06
36.21721003,-86.62168904,5.84E-06
36.21721003,-86.62150938,5.93E-06
36.21721003,-86.62132972,6.50E-06
36.21721003,-86.62115005,5.55E-06
36.21721003,-86.62097039,5.86E-06
36.21721003,-86.62079073,6.18E-06
36.21721003,-86.62061106,5.43E-06
36.21721003,-86.6204314,6.78E-06
36.21721003,-86.62025174,6.09E-06
36.21721003,-86.62007208,5.84E-06
36.21721003,-86.61989241,6.28E-06
36.21721003,-86.61971275,5.74E-06
36.21721003,-86.61953309,5.80E-06
36.21721003,-86.61935342,5.71E-06
36.21721003,-86.61917376,6.27E-06
36.21721003,-86.6189941,6.16E-06
36.21721003,-86.61881443,6.27E-06
36.21721003,-86.61863477,6.16E-06
36.21721003,-86.61845511,6.72E-06
36.21721003,-86.61827544,5.44E-06
36.21721003,-86.61809578,5.97E-06
36.21721003,-86.61791612,6.33E-06
36.21721003,-86.61773646,5.55E-06
36.21721003,-86.61755679,5.84E-06
36.21721003,-86.61737713,6.36E-06
36.21721003,-86.61719747,6.23E-06
36.21735498,-86.64001467,5.88E-06
36.21735498,-86.63983501,5.94E-06
36.21735498,-86.63965535,6.06E-06
36.21735498,-86.63947569,6.58E-06
36.21735498,-86.63929602,6.47E-06
36.21735498,-86.63911636,6.73E-06
36.21735498,-86.6389367,5.81E-06
36.21735498,-86.63875703,5.67E-06
36.21735498,-86.63857737,6.46E-06
36.21735498,-86.63839771,5.92E-06
36.21735498,-86.63821804,6.58E-06
36.21735498,-86.63803838,6.80E-06
36.21735498,-86.63785872,6.17E-06
