Latitude,Longitude,DoseRate_R_hr
36.21721003,-86.73164283,6.59E-06
36.21721003,-86.73146317,5.55E-06
36.21721003,-86.73128351,5.54E-06
36.21721003,-86.73110384,6.11E-06
36.21721003,-86.73092418,6.06E-06
36.21721003,-86.73074452,5.98E-06
36.21721003,-86.73056486,6.48E-06
36.21721003,-86.73038519,6.80E-06
36.21721003,-86.73020553,6.32E-06
36.21721003,-86.73002587,6.72E-06
36.21721003,-86.7298462,7.01E-06
36.21721003,-86.72966654,5.56E-06
36.21721003,-86.72948688,6.23E-06
36.21721003,-86.72930721,6.16E-06
36.21721003,-86.72912755,6.69E-06
36.21721003,-86.72894789,6.39E-06
36.21721003,-86.72876822,6.09E-06
36.21721003,-86.72858856,5.86E-06
36.21721003,-86.7284089,6.27E-06
36.21721003,-86.72822924,6.44E-06
36.21721003,-86.72804957,5.68E-06
36.21721003,-86.72786991,5.26E-06
36.21721003,-86.72769025,5.99E-06
36.21721003,-86.72751058,5.64E-06
36.21721003,-86.72733092,5.78E-06
36.21721003,-86.72715126,6.17E-06
36.21721003,-86.72697159,6.03E-06
36.21721003,-86.72679193,5.85E-06
36.21721003,-86.72661227,6.10E-06
36.21721003,-86.7264326,5.99E-06
36.21721003,-86.72625294,6.48E-06
36.21721003,-86.72607328,5.65E-06
36.21721003,-86.72589362,5.57E-06
36.21721003,-86.72571395,5.71E-06
36.21721003,-86.72553429,5.54E-06
36.21721003,-86.72535463,6.39E-06
36.21721003,-86.72517496,6.46E-06
36.21721003,-86.7249953,5.90E-06
36.21721003,-86.72481564,6.19E-06
36.21721003,-86.72463597,5.65E-06
36.21721003,-86.72445631,5.88E-06
36.21721003,-86.72427665,5.35E-06
36.21721003,-86.72409699,6.52E-06
36.21721003,-86.72391732,5.68E-06
36.21721003,-86.72373766,5.55E-06
36.21721003,-86.723558,5.05E-06
36.21721003,-86.72337833,5.48E-06
36.21721003,-86.72319867,6.11E-06
36.21721003,-86.72301901,6.02E-06
36.21721003,-86.72283934,6.08E-06
36.21721003,-86.72265968,6.48E-06
36.21721003,-86.72248002,6.28E-06
36.21721003,-86.72230035,5.58E-06
36.21721003,-86.72212069,6.26E-06
36.21721003,-86.72194103,6.72E-06
36.21721003,-86.72176137,6.16E-06
36.21721003,-86.7215817,5.93E-06
36.21721003,-86.72140204,5.68E-06
36.21721003,-86.72122238,6.41E-06
36.21721003,-86.72104271,5.73E-06
36.21721003,-86.72086305,5.18E-06
36.21721003,-86.72068339,6.04E-06
36.21721003,-86.72050372,5.91E-06
36.21721003,-86.72032406,6.01E-06
36.21721003,-86.7201444,6.19E-06
36.21721003,-86.71996473,5.95E-06
36.21721003,-86.71978507,6.52E-06
36.21721003,-86.71960541,5.76E-06
36.21721003,-86.71942575,5.86E-06
36.21721003,-86.71924608,6.32E-06
36.21721003,-86.71906642,5.72E-06
36.21721003,-86.71888676,6.16E-06
36.21721003,-86.71870709,6.94E-06
36.21721003,-86.71852743,5.83E-06
36.21721003,-86.71834777,6.13E-06
36.21721003,-86.7181681,5.86E-06
36.21721003,-86.71798844,5.29E-06
36.21721003,-86.71780878,5.86E-06
36.21721003,-86.71762912,6.38E-06
36.21721003,-86.71744945,6.52E-06
36.21721003,-86.71726979,6.31E-06
36.21721003,-86.71709013,5.98E-06
36.21721003,-86.71691046,6.02E-06
36.21721003,-86.7167308,5.57E-06
36.21721003,-86.71655114,6.41E-06
36.21721003,-86.71637147,6.22E-06
36.21721003,-86.71619181,5.80E-06
36.21721003,-86.71601215,5.77E-06
36.21721003,-86.71583248,6.86E-06
36.21721003,-86.71565282,5.48E-06
36.21721003,-86.71547316,6.47E-06
36.21721003,-86.7152935,6.26E-06
36.21721003,-86.71511383,6.55E-06
36.21721003,-86.71493417,6.09E-06
36.21721003,-86.71475451,6.88E-06
36.21721003,-86.71457484,5.47E-06
36.21721003,-86.71439518,5.56E-06
36.21721003,-86.71421552,5.56E-06
36.21721003,-86.71403585,6.68E-06
