Latitude,Longitude,DoseRate_R_hr
36.25416331,-86.70882563,5.74E-06
36.25416331,-86.70864596,6.88E-06
36.25416331,-86.7084663,6.79E-06
36.25416331,-86.70828664,6.24E-06
36.25416331,-86.70810697,6.62E-06
36.25416331,-86.70792731,6.41E-06
36.25416331,-86.70774765,6.35E-06
36.25416331,-86.70756798,6.09E-06
36.25416331,-86.70738832,6.11E-06
36.25416331,-86.70720866,6.15E-06
36.25416331,-86.70702899,6.20E-06
36.25416331,-86.70684933,5.88E-06
36.25416331,-86.70666967,5.58E-06
36.25416331,-86.70649001,6.28E-06
36.25416331,-86.70631034,6.56E-06
36.25416331,-86.70613068,5.74E-06
36.25416331,-86.70595102,5.87E-06
36.25416331,-86.70577135,5.87E-06
36.25416331,-86.70559169,5.91E-06
36.25416331,-86.70541203,6.36E-06
36.25416331,-86.70523236,5.52E-06
36.25416331,-86.7050527,5.66E-06
36.25416331,-86.70487304,6.46E-06
36.25416331,-86.70469338,6.81E-06
36.25416331,-86.70451371,5.92E-06
36.25416331,-86.70433405,6.03E-06
36.25416331,-86.70415439,5.37E-06
36.25416331,-86.70397472,6.09E-06
36.25416331,-86.70379506,6.10E-06
36.25416331,-86.7036154,5.74E-06
36.25416331,-86.70343573,5.81E-06
36.25416331,-86.70325607,6.39E-06
36.25416331,-86.70307641,5.81E-06
36.25416331,-86.70289674,5.75E-06
36.25416331,-86.70271708,5.76E-06
36.25416331,-86.70253742,5.33E-06
36.25416331,-86.70235776,6.14E-06
36.25416331,-86.70217809,6.16E-06
36.25416331,-86.70199843,5.93E-06
36.25416331,-86.70181877,5.65E-06
36.25416331,-86.7016391,6.34E-06
36.25416331,-86.70145944,6.09E-06
36.25416331,-86.70127978,6.85E-06
36.25416331,-86.70110011,6.24E-06
36.25416331,-86.70092045,5.77E-06
36.25416331,-86.70074079,6.00E-06
36.25416331,-86.70056112,6.15E-06
36.25416331,-86.70038146,6.00E-06
36.25416331,-86.7002018,6.23E-06
36.25416331,-86.70002214,6.70E-06
36.25416331,-86.69984247,6.20E-06
36.25416331,-86.69966281,6.17E-06
36.25416331,-86.69948315,5.31E-06
36.25416331,-86.69930348,6.89E-06
36.25416331,-86.69912382,6.17E-06
36.25416331,-86.69894416,5.23E-06
36.25416331,-86.69876449,6.21E-06
36.25416331,-86.69858483,6.17E-06
36.25416331,-86.69840517,5.73E-06
36.25416331,-86.69822551,6.08E-06
36.25416331,-86.69804584,6.85E-06
36.25416331,-86.69786618,6.25E-06
36.25416331,-86.69768652,5.54E-06
36.25416331,-86.69750685,6.06E-06
36.25416331,-86.69732719,6.58E-06
36.25416331,-86.69714753,5.52E-06
36.25416331,-86.69696786,5.97E-06
36.25416331,-86.6967882,6.04E-06
36.25416331,-86.69660854,6.28E-06
36.25416331,-86.69642887,5.81E-06
36.25416331,-86.69624921,5.58E-06
36.25416331,-86.69606955,6.98E-06
36.25416331,-86.69588989,5.41E-06
36.25416331,-86.69571022,6.14E-06
36.25416331,-86.69553056,5.94E-06
36.25416331,-86.6953509,6.50E-06
36.25416331,-86.69517123,6.34E-06
36.25416331,-86.69499157,6.48E-06
36.25416331,-86.69481191,6.10E-06
36.25416331,-86.69463224,6.19E-06
36.25416331,-86.69445258,5.61E-06
36.25416331,-86.69427292,5.46E-06
36.25416331,-86.69409325,5.67E-06
36.25416331,-86.69391359,6.39E-06
36.25416331,-86.69373393,6.08E-06
36.25416331,-86.69355427,5.69E-06
36.25416331,-86.6933746,6.58E-06
36.25416331,-86.69319494,5.60E-06
36.25416331,-86.69301528,6.41E-06
