Latitude,Longitude,DoseRate_R_hr
36.27256098,-86.5942006,2.47E-05
36.27256098,-86.59402093,2.13E-05
36.27256098,-86.59384127,2.19E-05
36.27256098,-86.59366161,2.20E-05
36.27256098,-86.59348194,2.31E-05
36.27256098,-86.59330228,2.27E-05
36.27256098,-86.59312262,2.37E-05
36.27256098,-86.59294295,2.26E-05
36.27256098,-86.59276329,2.33E-05
36.27256098,-86.59258363,2.32E-05
36.27256098,-86.59240396,2.20E-05
36.27256098,-86.5922243,2.21E-05
36.27256098,-86.59204464,2.27E-05
36.27256098,-86.59186498,2.11E-05
36.27256098,-86.59168531,2.32E-05
36.27256098,-86.59150565,2.21E-05
36.27256098,-86.59132599,2.17E-05
36.27256098,-86.59114632,2.31E-05
36.27256098,-86.59096666,2.20E-05
36.27256098,-86.590787,2.17E-05
36.27256098,-86.59060733,2.26E-05
36.27256098,-86.59042767,2.19E-05
36.27256098,-86.59024801,2.25E-05
36.27256098,-86.59006834,2.19E-05
36.27256098,-86.58988868,2.13E-05
36.27256098,-86.58970902,2.06E-05
36.27256098,-86.58952936,2.05E-05
36.27256098,-86.58934969,2.01E-05
36.27256098,-86.58917003,2.24E-05
36.27256098,-86.58899037,2.28E-05
36.27256098,-86.5888107,2.10E-05
36.27256098,-86.58863104,2.16E-05
36.27256098,-86.58845138,2.18E-05
36.27256098,-86.58827171,2.06E-05
36.27256098,-86.58809205,2.04E-05
36.27256098,-86.58791239,1.95E-05
36.27256098,-86.58773273,1.97E-05
36.27256098,-86.58755306,2.16E-05
36.27256098,-86.5873734,1.96E-05
36.27256098,-86.58719374,1.95E-05
36.27256098,-86.58701407,2.12E-05
36.27256098,-86.58683441,2.11E-05
36.27256098,-86.58665475,1.95E-05
36.27256098,-86.58647508,1.86E-05
36.27256098,-86.58629542,1.94E-05
36.27256098,-86.58611576,2.18E-05
36.27256098,-86.58593609,2.00E-05
36.27256098,-86.58575643,1.92E-05
36.27256098,-86.58557677,2.13E-05
36.27256098,-86.58539711,1.88E-05
36.27256098,-86.58521744,1.87E-05
36.27256098,-86.58503778,2.00E-05
36.27256098,-86.58485812,1.97E-05
36.27256098,-86.58467845,2.05E-05
36.27256098,-86.58449879,1.83E-05
36.27256098,-86.58431913,1.95E-05
36.27256098,-86.58413946,1.83E-05
