Latitude,Longitude,DoseRate_R_hr
36.19865435,-86.73164283,6.59E-06
36.19865435,-86.73146317,6.05E-06
36.19865435,-86.73128351,5.41E-06
36.19865435,-86.73110384,6.44E-06
36.19865435,-86.73092418,5.78E-06
36.19865435,-86.73074452,5.65E-06
36.19865435,-86.73056486,6.73E-06
36.19865435,-86.73038519,6.42E-06
36.19865435,-86.73020553,6.05E-06
36.19865435,-86.73002587,5.84E-06
36.19865435,-86.7298462,6.19E-06
36.19865435,-86.72966654,5.72E-06
36.19865435,-86.72948688,5.34E-06
36.19865435,-86.72930721,5.31E-06
36.19865435,-86.72912755,6.66E-06
36.19865435,-86.72894789,5.97E-06
36.19865435,-86.72876822,5.56E-06
36.19865435,-86.72858856,6.01E-06
36.19865435,-86.7284089,5.57E-06
36.19865435,-86.72822924,6.20E-06
36.19865435,-86.72804957,6.67E-06
36.19865435,-86.72786991,6.25E-06
36.19865435,-86.72769025,5.77E-06
36.19865435,-86.72751058,6.30E-06
36.19865435,-86.72733092,5.61E-06
36.19865435,-86.72715126,5.66E-06
36.19865435,-86.72697159,6.08E-06
36.19865435,-86.72679193,5.27E-06
36.19865435,-86.72661227,6.83E-06
36.19865435,-86.7264326,6.11E-06
36.19865435,-86.72625294,5.23E-06
36.19865435,-86.72607328,6.49E-06
36.19865435,-86.72589362,5.35E-06
36.19865435,-86.72571395,5.63E-06
36.19865435,-86.72553429,6.80E-06
36.19865435,-86.72535463,5.40E-06
36.19865435,-86.72517496,6.30E-06
36.19865435,-86.7249953,6.82E-06
36.19865435,-86.72481564,6.06E-06
36.19865435,-86.72463597,6.25E-06
36.19865435,-86.72445631,5.86E-06
36.19865435,-86.72427665,6.19E-06
36.19865435,-86.72409699,5.60E-06
36.19865435,-86.72391732,6.27E-06
36.19865435,-86.72373766,6.43E-06
36.19865435,-86.723558,5.28E-06
36.19865435,-86.72337833,6.17E-06
36.19865435,-86.72319867,6.60E-06
36.19865435,-86.72301901,5.64E-06
36.19865435,-86.72283934,5.89E-06
36.19865435,-86.72265968,6.64E-06
36.19865435,-86.72248002,6.57E-06
36.19865435,-86.72230035,6.45E-06
36.19865435,-86.72212069,5.57E-06
36.19865435,-86.72194103,6.30E-06
36.19865435,-86.72176137,6.17E-06
36.19865435,-86.7215817,6.31E-06
36.19865435,-86.72140204,6.11E-06
36.19865435,-86.72122238,6.76E-06
36.19865435,-86.72104271,5.95E-06
36.19865435,-86.72086305,5.85E-06
36.19865435,-86.72068339,6.20E-06
36.19865435,-86.72050372,6.03E-06
36.19865435,-86.72032406,6.26E-06
36.19865435,-86.7201444,5.30E-06
36.19865435,-86.71996473,6.03E-06
36.19865435,-86.71978507,5.89E-06
36.19865435,-86.71960541,6.38E-06
36.19865435,-86.71942575,6.42E-06
36.19865435,-86.71924608,6.58E-06
36.19865435,-86.71906642,6.00E-06
36.19865435,-86.71888676,5.56E-06
36.19865435,-86.71870709,6.09E-06
36.19865435,-86.71852743,6.17E-06
36.19865435,-86.71834777,6.06E-06
36.19865435,-86.7181681,5.96E-06
36.19865435,-86.71798844,5.30E-06
36.19865435,-86.71780878,5.46E-06
36.19865435,-86.71762912,6.55E-06
36.19865435,-86.71744945,6.34E-06
36.19865435,-86.71726979,5.68E-06
36.19865435,-86.71709013,5.58E-06
36.19865435,-86.71691046,6.00E-06
36.19865435,-86.7167308,6.91E-06
36.19865435,-86.71655114,5.83E-06
36.19865435,-86.71637147,6.65E-06
36.19865435,-86.71619181,6.57E-06
36.19865435,-86.71601215,6.22E-06
36.19865435,-86.71583248,6.57E-06
36.19865435,-86.71565282,6.22E-06
36.19865435,-86.71547316,6.09E-06
36.19865435,-86.7152935,6.31E-06
36.19865435,-86.71511383,5.38E-06
36.19865435,-86.71493417,6.03E-06
36.19865435,-86.71475451,5.41E-06
36.19865435,-86.71457484,6.22E-06
36.19865435,-86.71439518,5.28E-06
36.19865435,-86.71421552,6.39E-06
36.19865435,-86.71403585,5.42E-06
36.19865435,-86.71385619,6.00E-06
36.19865435,-86.71367653,6.55E-06
36.19865435,-86.71349686,5.16E-06
36.19865435,-86.7133172,5.62E-06
36.19865435,-86.71313754,5.68E-06
36.19865435,-86.71295788,5.94E-06
36.19865435,-86.71277821,5.24E-06
36.19865435,-86.71259855,5.90E-06
36.19865435,-86.71241889,5.26E-06
36.19865435,-86.71223922,5.91E-06
36.19865435,-86.71205956,5.71E-06
