Latitude,Longitude,DoseRate_mR_hr
32.30597276,-110.9029899,6.87E-03
32.30597276,-110.9028102,6.14E-03
32.30597276,-110.9026306,5.53E-03
32.30597276,-110.9024509,5.88E-03
32.30597276,-110.9022712,5.40E-03
32.30597276,-110.9020916,6.40E-03
32.30597276,-110.9019119,6.71E-03
32.30597276,-110.9017322,6.15E-03
32.30597276,-110.9015526,5.68E-03
32.30597276,-110.9013729,6.48E-03
32.30597276,-110.9011932,5.69E-03
32.30597276,-110.9010136,6.07E-03
32.30597276,-110.9008339,5.71E-03
32.30597276,-110.9006543,5.26E-03
32.30597276,-110.9004746,5.76E-03
32.30597276,-110.9002949,5.45E-03
32.30597276,-110.9001153,5.82E-03
32.30597276,-110.8999356,5.65E-03
32.30597276,-110.8997559,6.23E-03
32.30597276,-110.8995763,6.09E-03
32.30597276,-110.8993966,6.56E-03
32.30597276,-110.899217,5.46E-03
32.30597276,-110.8990373,6.19E-03
32.30597276,-110.8988576,6.24E-03
32.30597276,-110.898678,6.31E-03
32.30597276,-110.8984983,5.68E-03
32.30597276,-110.8983186,5.69E-03
32.30597276,-110.898139,6.00E-03
32.30597276,-110.8979593,6.18E-03
32.30597276,-110.8977796,6.84E-03
32.30597276,-110.8976,5.43E-03
32.30597276,-110.8974203,6.64E-03
32.30597276,-110.8972407,6.27E-03
32.30597276,-110.897061,5.84E-03
32.30597276,-110.8968813,5.83E-03
32.30597276,-110.8967017,5.10E-03
32.30597276,-110.896522,5.92E-03
32.30597276,-110.8963423,6.84E-03
32.30597276,-110.8961627,5.81E-03
32.30597276,-110.895983,6.39E-03
32.30597276,-110.8958034,6.04E-03
32.30597276,-110.8956237,5.29E-03
32.30597276,-110.895444,6.27E-03
32.30597276,-110.8952644,6.13E-03
32.30597276,-110.8950847,6.18E-03
32.30597276,-110.894905,6.50E-03
32.30597276,-110.8947254,5.69E-03
32.30597276,-110.8945457,5.40E-03
32.30597276,-110.8943661,6.35E-03
32.30597276,-110.8941864,6.15E-03
32.30597276,-110.8940067,5.82E-03
32.30597276,-110.8938271,5.36E-03
32.30597276,-110.8936474,6.09E-03
32.30597276,-110.8934677,5.84E-03
32.30597276,-110.8932881,6.44E-03
32.30597276,-110.8931084,5.61E-03
32.30597276,-110.8929287,5.87E-03
32.30597276,-110.8927491,6.14E-03
32.30597276,-110.8925694,5.93E-03
32.30597276,-110.8923898,5.45E-03
32.30597276,-110.8922101,6.24E-03
32.30597276,-110.8920304,6.09E-03
32.30597276,-110.8918508,6.31E-03
32.30597276,-110.8916711,6.52E-03
32.30597276,-110.8914914,5.51E-03
32.30597276,-110.8913118,5.60E-03
32.30597276,-110.8911321,5.37E-03
32.30597276,-110.8909525,5.70E-03
32.30597276,-110.8907728,6.09E-03
32.30597276,-110.8905931,5.79E-03
32.30597276,-110.8904135,6.40E-03
32.30597276,-110.8902338,5.75E-03
32.30597276,-110.8900541,5.80E-03
32.30597276,-110.8898745,6.23E-03
32.30597276,-110.8896948,5.27E-03
32.30597276,-110.8895151,6.31E-03
32.30612461,-110.9029899,5.32E-03
32.30612461,-110.9028102,5.58E-03
32.30612461,-110.9026306,5.79E-03
32.30612461,-110.9024509,5.38E-03
32.30612461,-110.9022712,6.10E-03
32.30612461,-110.9020916,5.59E-03
32.30612461,-110.9019119,5.79E-03
32.30612461,-110.9017322,5.82E-03
32.30612461,-110.9015526,5.24E-03
32.30612461,-110.9013729,6.29E-03
32.30612461,-110.9011932,6.15E-03
32.30612461,-110.9010136,5.55E-03
32.30612461,-110.9008339,6.15E-03
32.30612461,-110.9006543,6.26E-03
32.30612461,-110.9004746,5.75E-03
32.30612461,-110.9002949,6.00E-03
32.30612461,-110.9001153,6.15E-03
32.30612461,-110.8999356,5.85E-03
32.30612461,-110.8997559,5.65E-03
32.30612461,-110.8995763,6.80E-03
32.30612461,-110.8993966,6.23E-03
32.30612461,-110.899217,5.81E-03
32.30612461,-110.8990373,6.80E-03
32.30612461,-110.8988576,6.00E-03
32.30612461,-110.898678,6.13E-03
32.30612461,-110.8984983,6.71E-03
32.30612461,-110.8983186,6.63E-03
32.30612461,-110.898139,6.64E-03
32.30612461,-110.8979593,5.53E-03
32.30612461,-110.8977796,6.15E-03
32.30612461,-110.8976,6.39E-03
32.30612461,-110.8974203,5.82E-03
32.30612461,-110.8972407,5.57E-03
32.30612461,-110.897061,6.19E-03
32.30612461,-110.8968813,6.34E-03
32.30612461,-110.8967017,6.08E-03
32.30612461,-110.896522,6.42E-03
32.30612461,-110.8963423,6.04E-03
32.30612461,-110.8961627,5.18E-03
32.30612461,-110.895983,6.90E-03
32.30612461,-110.8958034,6.52E-03
32.30612461,-110.8956237,5.36E-03
32.30612461,-110.895444,6.82E-03
32.30612461,-110.8952644,6.18E-03
32.30612461,-110.8950847,5.93E-03
32.30612461,-110.894905,5.56E-03
32.30612461,-110.8947254,6.30E-03
32.30612461,-110.8945457,6.57E-03
32.30612461,-110.8943661,6.10E-03
32.30612461,-110.8941864,5.80E-03
32.30612461,-110.8940067,6.79E-03
32.30612461,-110.8938271,5.58E-03
32.30612461,-110.8936474,5.38E-03
32.30612461,-110.8934677,5.67E-03
32.30612461,-110.8932881,7.01E-03
32.30612461,-110.8931084,5.76E-03
