Latitude,Longitude,DoseRate_mR_hr
32.32905137,-110.8622064,5.53E-03
32.32905137,-110.8620267,5.85E-03
32.32905137,-110.861847,6.14E-03
32.32905137,-110.8616674,5.63E-03
32.32905137,-110.8614877,5.41E-03
32.32905137,-110.861308,6.63E-03
32.32905137,-110.8611284,6.15E-03
32.32905137,-110.8609487,5.43E-03
32.32905137,-110.8607691,6.47E-03
32.32905137,-110.8605894,5.43E-03
32.32905137,-110.8604097,6.68E-03
32.32905137,-110.8602301,5.79E-03
32.32905137,-110.8600504,6.63E-03
32.32905137,-110.8598707,5.62E-03
32.32905137,-110.8596911,5.71E-03
32.32905137,-110.8595114,5.92E-03
32.32905137,-110.8593318,6.49E-03
32.32905137,-110.8591521,6.38E-03
32.32905137,-110.8589724,5.42E-03
32.32905137,-110.8587928,6.45E-03
32.32905137,-110.8586131,6.07E-03
32.32905137,-110.8584334,6.09E-03
32.32905137,-110.8582538,6.45E-03
32.32905137,-110.8580741,5.43E-03
32.32905137,-110.8578945,5.93E-03
32.32905137,-110.8577148,6.17E-03
32.32905137,-110.8575351,5.95E-03
32.32905137,-110.8573555,6.46E-03
32.32905137,-110.8571758,6.49E-03
32.32905137,-110.8569961,6.78E-03
32.32905137,-110.8568165,6.06E-03
32.32905137,-110.8566368,6.85E-03
32.32905137,-110.8564571,6.36E-03
32.32905137,-110.8562775,5.83E-03
32.32905137,-110.8560978,5.81E-03
32.32905137,-110.8559182,6.50E-03
32.32905137,-110.8557385,5.09E-03
32.32905137,-110.8555588,5.93E-03
32.32905137,-110.8553792,6.26E-03
32.32905137,-110.8551995,6.10E-03
32.32905137,-110.8550198,5.50E-03
32.32905137,-110.8548402,5.47E-03
32.32905137,-110.8546605,6.05E-03
32.32905137,-110.8544809,5.12E-03
32.32905137,-110.8543012,6.39E-03
32.32905137,-110.8541215,5.50E-03
32.32905137,-110.8539419,6.55E-03
32.32905137,-110.8537622,5.97E-03
32.32905137,-110.8535825,6.23E-03
32.32905137,-110.8534029,5.63E-03
32.32905137,-110.8532232,6.19E-03
32.32905137,-110.8530435,6.00E-03
32.32905137,-110.8528639,6.23E-03
32.32905137,-110.8526842,6.28E-03
32.32905137,-110.8525046,5.62E-03
32.32905137,-110.8523249,5.50E-03
