Latitude,Longitude,DoseRate_mR_hr
32.34043668,-110.9574278,5.49E-03
32.34043668,-110.9572481,5.91E-03
32.34043668,-110.9570685,6.79E-03
32.34043668,-110.9568888,6.50E-03
32.34043668,-110.9567091,6.16E-03
32.34043668,-110.9565295,6.15E-03
32.34043668,-110.9563498,6.44E-03
32.34043668,-110.9561701,6.48E-03
32.34043668,-110.9559905,5.99E-03
32.34043668,-110.9558108,6.05E-03
32.34043668,-110.9556312,6.29E-03
32.34043668,-110.9554515,5.91E-03
32.34043668,-110.9552718,6.28E-03
32.34043668,-110.9550922,6.54E-03
32.34043668,-110.9549125,5.81E-03
32.34043668,-110.9547328,6.75E-03
32.34043668,-110.9545532,6.37E-03
32.34043668,-110.9543735,5.90E-03
32.34043668,-110.9541938,6.11E-03
32.34043668,-110.9540142,5.77E-03
32.34043668,-110.9538345,6.25E-03
32.34043668,-110.9536549,5.78E-03
32.34043668,-110.9534752,6.50E-03
32.34043668,-110.9532955,5.91E-03
32.34043668,-110.9531159,6.13E-03
32.34043668,-110.9529362,5.16E-03
32.34043668,-110.9527565,6.39E-03
32.34043668,-110.9525769,5.21E-03
32.34043668,-110.9523972,6.68E-03
32.34043668,-110.9522176,6.00E-03
32.34043668,-110.9520379,5.84E-03
32.34043668,-110.9518582,6.30E-03
32.34043668,-110.9516786,6.12E-03
32.34043668,-110.9514989,6.12E-03
32.34043668,-110.9513192,6.38E-03
32.34043668,-110.9511396,6.62E-03
32.34043668,-110.9509599,5.86E-03
32.34043668,-110.9507803,5.69E-03
32.34043668,-110.9506006,5.43E-03
32.34043668,-110.9504209,6.28E-03
32.34043668,-110.9502413,6.05E-03
32.34043668,-110.9500616,5.89E-03
32.34043668,-110.9498819,5.83E-03
32.34043668,-110.9497023,6.11E-03
32.34043668,-110.9495226,6.17E-03
32.34043668,-110.9493429,6.32E-03
32.34043668,-110.9491633,5.31E-03
32.34043668,-110.9489836,5.51E-03
32.34043668,-110.948804,5.43E-03
32.34043668,-110.9486243,6.15E-03
32.34043668,-110.9484446,6.00E-03
32.34043668,-110.948265,5.47E-03
32.34043668,-110.9480853,6.22E-03
32.34043668,-110.9479056,6.09E-03
32.34043668,-110.947726,6.80E-03
32.34043668,-110.9475463,6.49E-03
32.34043668,-110.9473667,6.28E-03
32.34043668,-110.947187,6.42E-03
32.34043668,-110.9470073,5.59E-03
32.34043668,-110.9468277,5.24E-03
32.34043668,-110.946648,6.52E-03
32.34043668,-110.9464683,5.97E-03
32.34043668,-110.9462887,6.23E-03
32.34043668,-110.946109,5.61E-03
32.34043668,-110.9459293,5.98E-03
32.34043668,-110.9457497,5.35E-03
32.34043668,-110.94557,6.40E-03
32.34043668,-110.9453904,6.00E-03
32.34043668,-110.9452107,6.28E-03
32.34043668,-110.945031,6.55E-03
32.34043668,-110.9448514,5.74E-03
32.34043668,-110.9446717,5.64E-03
32.34043668,-110.944492,5.77E-03
32.34043668,-110.9443124,5.42E-03
32.34043668,-110.9441327,5.80E-03
32.34043668,-110.9439531,6.27E-03
32.34043668,-110.9437734,6.02E-03
32.34043668,-110.9435937,5.53E-03
32.34043668,-110.9434141,6.57E-03
32.34043668,-110.9432344,6.27E-03
32.34043668,-110.9430547,6.24E-03
32.34043668,-110.9428751,5.79E-03
32.34043668,-110.9426954,5.80E-03
32.34043668,-110.9425158,5.49E-03
32.34043668,-110.9423361,5.69E-03
32.34043668,-110.9421564,5.79E-03
32.34043668,-110.9419768,6.07E-03
32.34043668,-110.9417971,5.88E-03
32.34043668,-110.9416174,6.03E-03
32.34043668,-110.9414378,6.96E-03
32.34043668,-110.9412581,6.31E-03
32.34043668,-110.9410784,6.24E-03
32.34043668,-110.9408988,6.56E-03
32.34043668,-110.9407191,5.24E-03
32.34043668,-110.9405395,5.48E-03
32.34043668,-110.9403598,5.61E-03
32.34043668,-110.9401801,5.68E-03
32.34043668,-110.9400005,6.13E-03
32.34043668,-110.9398208,5.50E-03
32.34043668,-110.9396411,5.79E-03
32.34043668,-110.9394615,6.81E-03
32.34043668,-110.9392818,6.27E-03
32.34043668,-110.9391022,5.73E-03
32.34043668,-110.9389225,6.10E-03
32.34043668,-110.9387428,5.64E-03
32.34043668,-110.9385632,6.56E-03
32.34043668,-110.9383835,5.53E-03
32.34043668,-110.9382038,6.17E-03
32.34043668,-110.9380242,6.67E-03
32.34043668,-110.9378445,6.55E-03
32.34043668,-110.9376648,6.20E-03
32.34043668,-110.9374852,6.47E-03
32.34043668,-110.9373055,6.01E-03
32.34043668,-110.9371259,6.28E-03
32.34043668,-110.9369462,5.72E-03
