Latitude,Longitude,DoseRate_mR_hr
32.29443125,-110.8758608,6.39E-03
32.29443125,-110.8756811,5.93E-03
32.29443125,-110.8755014,6.10E-03
32.29443125,-110.8753218,5.74E-03
32.29443125,-110.8751421,5.64E-03
32.29443125,-110.8749624,6.58E-03
32.29443125,-110.8747828,6.61E-03
32.29443125,-110.8746031,5.73E-03
32.29443125,-110.8744235,5.33E-03
32.29443125,-110.8742438,6.24E-03
32.29443125,-110.8740641,5.65E-03
32.29443125,-110.8738845,6.04E-03
32.29443125,-110.8737048,6.55E-03
32.29443125,-110.8735251,6.37E-03
32.29443125,-110.8733455,5.96E-03
32.29443125,-110.8731658,6.18E-03
32.29443125,-110.8729861,6.57E-03
32.29443125,-110.8728065,5.64E-03
32.29443125,-110.8726268,5.95E-03
32.29443125,-110.8724472,5.27E-03
32.29443125,-110.8722675,6.31E-03
32.29443125,-110.8720878,6.45E-03
32.29443125,-110.8719082,6.36E-03
32.29443125,-110.8717285,6.36E-03
32.29443125,-110.8715488,5.46E-03
32.29443125,-110.8713692,5.32E-03
32.29443125,-110.8711895,6.70E-03
32.29443125,-110.8710099,5.68E-03
32.29443125,-110.8708302,6.17E-03
32.29443125,-110.8706505,6.67E-03
32.29443125,-110.8704709,6.61E-03
32.29443125,-110.8702912,6.24E-03
32.29443125,-110.8701115,6.43E-03
32.29443125,-110.8699319,5.93E-03
32.29443125,-110.8697522,6.58E-03
32.29443125,-110.8695725,6.01E-03
32.29443125,-110.8693929,5.55E-03
32.29443125,-110.8692132,6.37E-03
32.29443125,-110.8690336,5.54E-03
32.29443125,-110.8688539,6.08E-03
32.29443125,-110.8686742,5.78E-03
32.29443125,-110.8684946,6.13E-03
32.29443125,-110.8683149,6.39E-03
32.29443125,-110.8681352,5.58E-03
32.29443125,-110.8679556,6.70E-03
32.29443125,-110.8677759,6.52E-03
32.29443125,-110.8675963,5.69E-03
32.29443125,-110.8674166,5.36E-03
32.29443125,-110.8672369,6.73E-03
32.29443125,-110.8670573,6.10E-03
32.29443125,-110.8668776,6.37E-03
32.29443125,-110.8666979,6.21E-03
32.29443125,-110.8665183,6.63E-03
32.29443125,-110.8663386,5.98E-03
32.29443125,-110.866159,5.51E-03
32.29443125,-110.8659793,6.15E-03
32.29443125,-110.8657996,6.72E-03
32.29443125,-110.86562,7.05E-03
32.29443125,-110.8654403,5.79E-03
32.29443125,-110.8652606,6.32E-03
32.29443125,-110.865081,6.24E-03
32.29443125,-110.8649013,5.97E-03
32.29443125,-110.8647216,6.07E-03
32.29443125,-110.864542,5.88E-03
32.29443125,-110.8643623,5.54E-03
32.29443125,-110.8641827,5.54E-03
32.29443125,-110.864003,6.52E-03
32.29443125,-110.8638233,5.59E-03
32.29443125,-110.8636437,5.57E-03
32.29443125,-110.863464,5.85E-03
32.29443125,-110.8632843,6.17E-03
32.29443125,-110.8631047,5.36E-03
32.29443125,-110.862925,5.54E-03
32.29443125,-110.8627454,5.95E-03
32.29443125,-110.8625657,6.28E-03
32.29443125,-110.862386,6.76E-03
32.29458312,-110.8758608,5.70E-03
32.29458312,-110.8756811,6.04E-03
32.29458312,-110.8755014,5.97E-03
32.29458312,-110.8753218,6.63E-03
32.29458312,-110.8751421,5.99E-03
32.29458312,-110.8749624,6.22E-03
32.29458312,-110.8747828,5.90E-03
32.29458312,-110.8746031,5.44E-03
32.29458312,-110.8744235,5.68E-03
32.29458312,-110.8742438,6.06E-03
32.29458312,-110.8740641,6.07E-03
32.29458312,-110.8738845,5.25E-03
32.29458312,-110.8737048,5.40E-03
32.29458312,-110.8735251,6.06E-03
32.29458312,-110.8733455,5.42E-03
32.29458312,-110.8731658,6.77E-03
32.29458312,-110.8729861,6.29E-03
32.29458312,-110.8728065,5.67E-03
32.29458312,-110.8726268,5.75E-03
32.29458312,-110.8724472,6.73E-03
32.29458312,-110.8722675,6.18E-03
32.29458312,-110.8720878,5.88E-03
32.29458312,-110.8719082,5.51E-03
32.29458312,-110.8717285,6.04E-03
32.29458312,-110.8715488,5.73E-03
32.29458312,-110.8713692,6.30E-03
32.29458312,-110.8711895,5.74E-03
32.29458312,-110.8710099,6.42E-03
32.29458312,-110.8708302,6.28E-03
32.29458312,-110.8706505,6.23E-03
32.29458312,-110.8704709,6.61E-03
32.29458312,-110.8702912,6.18E-03
32.29458312,-110.8701115,6.46E-03
32.29458312,-110.8699319,5.98E-03
32.29458312,-110.8697522,5.67E-03
32.29458312,-110.8695725,6.60E-03
32.29458312,-110.8693929,6.62E-03
32.29458312,-110.8692132,5.59E-03
32.29458312,-110.8690336,6.01E-03
32.29458312,-110.8688539,5.60E-03
32.29458312,-110.8686742,6.34E-03
32.29458312,-110.8684946,5.84E-03
32.29458312,-110.8683149,6.14E-03
32.29458312,-110.8681352,5.79E-03
32.29458312,-110.8679556,5.71E-03
32.29458312,-110.8677759,5.99E-03
32.29458312,-110.8675963,5.75E-03
32.29458312,-110.8674166,5.53E-03
32.29458312,-110.8672369,6.21E-03
32.29458312,-110.8670573,6.35E-03
32.29458312,-110.8668776,5.59E-03
32.29458312,-110.8666979,5.62E-03
32.29458312,-110.8665183,5.73E-03
32.29458312,-110.8663386,6.25E-03
32.29458312,-110.866159,5.36E-03
32.29458312,-110.8659793,5.25E-03
32.29458312,-110.8657996,5.98E-03
32.29458312,-110.86562,6.37E-03
32.29458312,-110.8654403,6.26E-03
32.29458312,-110.8652606,5.98E-03
32.29458312,-110.865081,6.10E-03
32.29458312,-110.8649013,6.32E-03
32.29458312,-110.8647216,6.42E-03
32.29458312,-110.864542,6.82E-03
32.29458312,-110.8643623,5.66E-03
32.29458312,-110.8641827,6.38E-03
32.29458312,-110.864003,6.50E-03
32.29458312,-110.8638233,6.49E-03
32.29458312,-110.8636437,6.41E-03
32.29458312,-110.863464,5.76E-03
32.29458312,-110.8632843,5.42E-03
32.29458312,-110.8631047,6.40E-03
32.29458312,-110.862925,5.56E-03
32.29458312,-110.8627454,5.60E-03
32.29458312,-110.8625657,5.63E-03
32.29458312,-110.862386,5.91E-03
32.29473499,-110.8758608,5.40E-03
32.29473499,-110.8756811,5.86E-03
32.29473499,-110.8755014,5.07E-03
32.29473499,-110.8753218,6.37E-03
32.29473499,-110.8751421,6.21E-03
32.29473499,-110.8749624,5.99E-03
32.29473499,-110.8747828,6.10E-03
32.29473499,-110.8746031,6.17E-03
32.29473499,-110.8744235,5.78E-03
32.29473499,-110.8742438,5.84E-03
32.29473499,-110.8740641,5.82E-03
32.29473499,-110.8738845,6.34E-03
32.29473499,-110.8737048,5.85E-03
32.29473499,-110.8735251,6.22E-03
32.29473499,-110.8733455,5.38E-03
32.29473499,-110.8731658,5.56E-03
32.29473499,-110.8729861,5.69E-03
32.29473499,-110.8728065,5.22E-03
32.29473499,-110.8726268,5.47E-03
32.29473499,-110.8724472,5.99E-03
32.29473499,-110.8722675,5.93E-03
32.29473499,-110.8720878,5.79E-03
32.29473499,-110.8719082,6.67E-03
32.29473499,-110.8717285,6.69E-03
32.29473499,-110.8715488,5.53E-03
32.29473499,-110.8713692,5.85E-03
32.29473499,-110.8711895,5.38E-03
32.29473499,-110.8710099,5.55E-03
32.29473499,-110.8708302,5.32E-03
32.29473499,-110.8706505,6.44E-03
32.29473499,-110.8704709,5.45E-03
32.29473499,-110.8702912,6.33E-03
32.29473499,-110.8701115,6.14E-03
32.29473499,-110.8699319,5.43E-03
32.29473499,-110.8697522,5.12E-03
32.29473499,-110.8695725,5.57E-03
32.29473499,-110.8693929,5.87E-03
32.29473499,-110.8692132,6.14E-03
32.29473499,-110.8690336,5.35E-03
32.29473499,-110.8688539,6.65E-03
32.29473499,-110.8686742,6.55E-03
32.29473499,-110.8684946,5.93E-03
32.29473499,-110.8683149,5.89E-03
32.29473499,-110.8681352,5.47E-03
32.29473499,-110.8679556,5.51E-03
32.29473499,-110.8677759,5.27E-03
32.29473499,-110.8675963,5.58E-03
32.29473499,-110.8674166,5.60E-03
32.29473499,-110.8672369,5.51E-03
32.29473499,-110.8670573,6.61E-03
32.29473499,-110.8668776,5.82E-03
32.29473499,-110.8666979,5.70E-03
32.29473499,-110.8665183,5.87E-03
32.29473499,-110.8663386,6.39E-03
32.29473499,-110.866159,6.58E-03
32.29473499,-110.8659793,5.74E-03
32.29473499,-110.8657996,6.03E-03
32.29473499,-110.86562,5.65E-03
32.29473499,-110.8654403,5.48E-03
32.29473499,-110.8652606,5.66E-03
32.29473499,-110.865081,5.98E-03
32.29473499,-110.8649013,5.99E-03
32.29473499,-110.8647216,5.72E-03
32.29473499,-110.864542,5.68E-03
32.29473499,-110.8643623,5.33E-03
32.29473499,-110.8641827,6.18E-03
32.29473499,-110.864003,6.59E-03
32.29473499,-110.8638233,6.49E-03
32.29473499,-110.8636437,6.14E-03
32.29473499,-110.863464,5.65E-03
32.29473499,-110.8632843,5.09E-03
32.29473499,-110.8631047,5.76E-03
32.29473499,-110.862925,6.41E-03
32.29473499,-110.8627454,6.19E-03
32.29473499,-110.8625657,5.59E-03
