Latitude,Longitude,DoseRate_mR_hr
32.32905137,-110.9437734,5.39E-03
32.32905137,-110.9435937,6.47E-03
32.32905137,-110.9434141,5.82E-03
32.32905137,-110.9432344,6.40E-03
32.32905137,-110.9430547,5.25E-03
32.32905137,-110.9428751,6.41E-03
32.32905137,-110.9426954,6.73E-03
32.32905137,-110.9425158,5.92E-03
32.32905137,-110.9423361,5.74E-03
32.32905137,-110.9421564,5.48E-03
32.32905137,-110.9419768,6.36E-03
32.32905137,-110.9417971,5.64E-03
32.32905137,-110.9416174,6.16E-03
32.32905137,-110.9414378,5.69E-03
32.32905137,-110.9412581,6.17E-03
32.32905137,-110.9410784,6.18E-03
32.32905137,-110.9408988,5.42E-03
32.32905137,-110.9407191,5.77E-03
32.32905137,-110.9405395,6.53E-03
32.32905137,-110.9403598,5.21E-03
32.32905137,-110.9401801,6.10E-03
32.32905137,-110.9400005,5.71E-03
32.32905137,-110.9398208,6.19E-03
32.32905137,-110.9396411,6.32E-03
32.32905137,-110.9394615,6.52E-03
32.32905137,-110.9392818,6.23E-03
32.32905137,-110.9391022,5.96E-03
32.32905137,-110.9389225,5.86E-03
32.32905137,-110.9387428,6.70E-03
32.32905137,-110.9385632,6.23E-03
32.32905137,-110.9383835,6.71E-03
32.32905137,-110.9382038,5.95E-03
32.32905137,-110.9380242,6.03E-03
32.32905137,-110.9378445,6.46E-03
32.32905137,-110.9376648,6.19E-03
32.32905137,-110.9374852,6.14E-03
32.32905137,-110.9373055,6.52E-03
32.32905137,-110.9371259,6.72E-03
32.32905137,-110.9369462,6.16E-03
32.32905137,-110.9367665,5.90E-03
32.32905137,-110.9365869,6.40E-03
32.32905137,-110.9364072,6.33E-03
32.32905137,-110.9362275,6.09E-03
32.32905137,-110.9360479,5.25E-03
32.32905137,-110.9358682,6.45E-03
32.32905137,-110.9356886,5.53E-03
32.32905137,-110.9355089,5.68E-03
32.32905137,-110.9353292,6.57E-03
32.32905137,-110.9351496,6.30E-03
32.32905137,-110.9349699,5.96E-03
