Latitude,Longitude,DoseRate_mR_hr
32.3175128,-110.8893355,5.89E-03
32.3175128,-110.8891558,5.85E-03
32.3175128,-110.8889762,6.37E-03
32.3175128,-110.8887965,6.19E-03
32.3175128,-110.8886168,5.63E-03
32.3175128,-110.8884372,6.28E-03
32.3175128,-110.8882575,6.14E-03
32.3175128,-110.8880778,6.71E-03
32.3175128,-110.8878982,5.71E-03
32.3175128,-110.8877185,6.63E-03
32.3175128,-110.8875389,5.49E-03
32.3175128,-110.8873592,6.09E-03
32.3175128,-110.8871795,5.73E-03
32.3175128,-110.8869999,6.54E-03
32.3175128,-110.8868202,5.90E-03
32.3175128,-110.8866405,6.72E-03
32.3175128,-110.8864609,6.30E-03
32.3175128,-110.8862812,5.57E-03
32.3175128,-110.8861016,5.75E-03
32.3175128,-110.8859219,6.62E-03
32.3175128,-110.8857422,6.51E-03
32.3175128,-110.8855626,6.13E-03
32.3175128,-110.8853829,5.69E-03
32.3175128,-110.8852032,5.53E-03
32.3175128,-110.8850236,5.43E-03
32.3175128,-110.8848439,5.79E-03
32.3175128,-110.8846642,5.45E-03
32.3175128,-110.8844846,5.89E-03
32.3175128,-110.8843049,5.97E-03
32.3175128,-110.8841253,5.50E-03
32.3175128,-110.8839456,6.02E-03
32.3175128,-110.8837659,5.92E-03
32.3175128,-110.8835863,5.56E-03
32.3175128,-110.8834066,5.94E-03
32.3175128,-110.8832269,6.29E-03
32.3175128,-110.8830473,6.17E-03
32.3175128,-110.8828676,5.77E-03
32.3175128,-110.882688,5.88E-03
32.3175128,-110.8825083,5.42E-03
32.3175128,-110.8823286,5.92E-03
32.3175128,-110.882149,6.23E-03
32.3175128,-110.8819693,6.39E-03
32.3175128,-110.8817896,6.10E-03
32.3175128,-110.88161,5.31E-03
32.3175128,-110.8814303,6.12E-03
32.3175128,-110.8812506,5.55E-03
32.3175128,-110.881071,6.09E-03
32.3175128,-110.8808913,6.92E-03
32.3175128,-110.8807117,6.08E-03
32.3175128,-110.880532,6.61E-03
32.3175128,-110.8803523,6.32E-03
32.3175128,-110.8801727,5.58E-03
32.3175128,-110.879993,6.25E-03
32.3175128,-110.8798133,5.72E-03
32.3175128,-110.8796337,5.33E-03
32.3175128,-110.879454,5.57E-03
32.3175128,-110.8792744,5.36E-03
32.3175128,-110.8790947,5.45E-03
32.3175128,-110.878915,5.77E-03
32.3175128,-110.8787354,6.10E-03
32.3175128,-110.8785557,6.38E-03
32.3175128,-110.878376,6.31E-03
32.3175128,-110.8781964,6.22E-03
32.3175128,-110.8780167,6.17E-03
32.3175128,-110.8778371,6.05E-03
32.3175128,-110.8776574,5.14E-03
32.3175128,-110.8774777,5.78E-03
32.3175128,-110.8772981,6.13E-03
32.3175128,-110.8771184,5.77E-03
32.3175128,-110.8769387,6.29E-03
32.3175128,-110.8767591,5.05E-03
32.3175128,-110.8765794,6.51E-03
32.3175128,-110.8763997,6.31E-03
32.3175128,-110.8762201,6.42E-03
32.3175128,-110.8760404,5.36E-03
32.3175128,-110.8758608,5.80E-03
32.31766463,-110.8893355,6.61E-03
32.31766463,-110.8891558,5.75E-03
32.31766463,-110.8889762,5.91E-03
32.31766463,-110.8887965,6.09E-03
32.31766463,-110.8886168,5.39E-03
32.31766463,-110.8884372,5.13E-03
32.31766463,-110.8882575,5.85E-03
32.31766463,-110.8880778,6.14E-03
32.31766463,-110.8878982,6.54E-03
32.31766463,-110.8877185,6.69E-03
32.31766463,-110.8875389,6.00E-03
32.31766463,-110.8873592,5.76E-03
32.31766463,-110.8871795,5.92E-03
32.31766463,-110.8869999,5.42E-03
32.31766463,-110.8868202,6.53E-03
32.31766463,-110.8866405,5.78E-03
32.31766463,-110.8864609,5.69E-03
32.31766463,-110.8862812,5.68E-03
32.31766463,-110.8861016,5.31E-03
32.31766463,-110.8859219,6.37E-03
32.31766463,-110.8857422,5.87E-03
32.31766463,-110.8855626,6.27E-03
32.31766463,-110.8853829,5.60E-03
32.31766463,-110.8852032,6.19E-03
32.31766463,-110.8850236,5.54E-03
32.31766463,-110.8848439,6.32E-03
